OBJECTID,CATEGORY,PROJECT TITLE,GRANTEE TYPE,GRANT PROGRAM,GlobalID,URL 2,LOCATION NOTES,PROJECT DESCRIPTION,URL 1,URL 3,URL 4,URL 5,MATCH  AMOUNT,CZM REGION,URL 1 TEXT,URL 2 TEXT,URL 3 TEXT,URL 4 Text,URL 5 TEXT,TOWN,MULTI_JURISTICTIONAL,GRANT_AWARD,GRANTEE,WATERSHED,YEAR,x,y
32,Planning & Outreach,West Rodney French Boulevard Beach Nourishment Project,Municipal,Coastal Resilience,abb0cb52-a377-4787-8051-ce6038560dd3,,,The City of New Bedford evaluated and prepared a conceptual design plan for a beach nourishment restoration project along an armored sections of West Rodney French Boulevard that are particularly vulnerable to erosion and tidal impacts.,http://www.newbedford-ma.gov/public-infrastructure/,,,,42187,South Coast,New  Bedford Contact Information,,,,,New Bedford,No,168750,New Bedford,Buzzards Bay,2017,-7894032.78458445,5101549.98179619
327,Design & Permitting,Eel Pond Sewer Force Main Replacement-Permitting and Final Design,Municipal,Coastal Resilience,168e76ba-a1b4-4c0e-acd1-2151b3faf90a,,,Mattapoisett completed final design and permitting necessary to implement the Eel Pond Sewer Force Main Replacement Project along the barrier beach and under the West Channel.,https://www.mattapoisett.net/water-sewer-department,,,,68268,South Coast,Mattapoisett Contact Information,,,,,Mattapoisett,No,158765,Mattapoisett,Buzzards Bay,2022,-7883581.53117487,5109757.03669789
229,Construction - Stormwater Infrastructure,Three Bays Stormwater BMP Design and Permitting,Municipal,Coastal Pollutant Remediation,34c7026c-d0b4-456e-8a35-455af4495651,,,"Barnstable designed, permitted, and initiated construction of stormwater infrastructure to treat nitrogen and bacteria at priority sites in the Three Bays watershed. Goals are to restore coastal habitat, and improve water quality.",https://www.apcc.org/threebays/,,,,217116,Cape Cod and Islands,APCC Three Bays Webpage,,,,,Barnstable,No,208748,Barnstable,Cape Cod,2019,-7837605.96392577,5106078.66083095
364,Construction - Stormwater Infrastructure,Three Bays Stormwater BMP Construction,Municipal,Coastal Pollutant Remediation,e10eda03-682c-4b61-8952-0e8043a803c5,,,Barnstable constructed stormwater infrastructure to treat nitrogen and bacteria at two priority sites in the Three Bays watershed. Goals are to restore coastal habitat and improve water quality for swimming and shellfishing.,https://www.apcc.org/threebays/,,,,59176,Cape Cod and Islands,APCC Three Bays Webpage,,,,,Barnstable,No,173255,Barnstable,Cape Cod,2021,-7837007.03353562,5108845.5409558
318,Construction - Shoreline Restoration,"South Beach Bathhouse Relocation and Dune Restoration Project, Edgartown, MA",Municipal,Coastal Resilience,088d9082-f6f5-455c-8745-2982e48e2562,,,"Edgartown relocated the South Beach bathhouse 50 feet landward, removed an asphalt surface and restored the primary coastal dune on South Beach, adjacent Norton Point Beach, with compatible dredge material and native plantings.",https://www.edgartown-ma.us/departments/parks,,,,67388,Cape Cod and Islands,Edgartown Contact Information,,,,,Edgartown,No,240674,Edgartown,Islands,2022,-7849337.82794203,5063934.23257063
126,Planning & Outreach,Downtown Improvement Phase 2 Stormwater Management,Municipal,Coastal Pollutant Remediation,8119d63f-7adf-4d1b-ba75-5c0bedf77fd2,,,"The Town of Manchester-by-the-Sea conducted a feasibility study for using Low Impact Development elements in the downtown to treat stormwater to Sawmill Brook, spawning habitat for rainbow smelt and Manchester Harbor, an impaired waterbody.",,,,,40238,North Shore,,,,,,Manchester,No,112036,Manchester,North Coastal,2015,-7878288.3523675,5247559.86099783
321,Design & Permitting,Hingham’s Broad Cove Pump Station and Force Main – Climate Resilience Redesign,Municipal,Coastal Resilience,afaeac92-8a42-48eb-8c6b-07de29f4cb34,,,Hingham analyzed site conditions and developed design options for the replacement of the deteriorating and vulnerable Broad Cove Pump Station sewer force main as well as protective measures for the station.,https://www.hingham-ma.gov/999/Sewer,,,,41250,South Shore,Hingham Contact Information,,,,,Hingham,No,165000,Hingham,Boston Harbor: Weymouth & Weir,2022,-7892862.74396672,5198442.20297021
26,Design & Permitting,Winter Island Park Stormwater Remediation Project,Municipal,Coastal Pollutant Remediation,78856bba-2403-408b-bff3-4be45c8c398c,,,"The City of Salem, in partnership with Salem Sound Coastwatch, designed and permitted stormwater treatment systems at Winter Island Park. These bioretention ponds, when constructed, will address stormwater pollutants entering Salem Harbor.", ,,,,29400,North Shore,,,,,,Salem,No,78680,Salem,North Coastal,2017,-7889004.71650597,5240244.28132766
178,Design & Permitting,"Yarmouth Impaired Waters, Stormwater BMP Design",Municipal,Coastal Pollutant Remediation,b26bdb9e-e4a3-4bbe-97a1-dee328a4e036,,,"Yarmouth developed final designs for green infrastructure to treat bacteria and nitrogen in stormwater runoff to coastal waters. The goal is to improve coastal habitat and water quality, and reduce shellfish and beach closures.",,,,,14007,Cape Cod and Islands,,,,,,Yarmouth,No,10533,Yarmouth,Cape Cod,2018,-7821495.6404105,5109108.51624452
12,Vulnerability Assessment,Wastewater Infrastructure Vulnerability Assessment and Emergency Response Plan Related To Coastal Flooding And Climate Change,Municipal,Coastal Resilience,365b3106-f9e0-4c4a-a3f2-3976703fc04f,,,Wareham completed a vulnerability assessment and emergency management plan for critical wastewater infrastructure and identified necessary improvements to help the system endure future storm and climate change impacts.,http://www.wareham.ma.us/sewer-department/news/vulnerability-plan,,,,23437,South Coast,Vulnerability Plan,,,,,Wareham,No,93750,Wareham,Buzzards Bay,2015,-7868453.21112694,5125250.22426095
367,Planning & Outreach,LID/GI Maintenance Training Videos,Municipal,Coastal Pollutant Remediation,26d3db67-4e29-454f-800c-3cb1314a3e9e,,Location is City Hall since the project consisted of training videos.,Salem developed a series of training videos that demonstrate the operation and maintenance of stormwater green infrastructure to help build green infrastructure capacity. ,,,,,24900,North Shore,,,,,,Salem,No,45100,Salem,North Coastal,2021,-7892065.4310503,5239497.59881075
35,Design & Permitting,Collins Cove Bioengineering With Coir Rolls And Salt Marsh Planting - Design,Municipal,Coastal Resilience,267625a9-3d6d-4669-a9a2-6bc55de5a7ad,,,The City of Salem prepared design plans for a bioengineering project using coir rolls with natural vegetation along the southern portion of Collins Cove to provide a more natural buffer to erosion from storm surge and wave forces.,http://www.waquoitbayreserve.org/wp-content/uploads/N_LocalPlanning_BWarren_TDevine_3-30-17.pdf,,,,15306,North Shore,Presentation,,,,,Salem,No,54665,Salem,North Coastal,2017,-7891044.62970331,5240277.72267766
106,Construction - Shoreline Restoration,Cobble Berm Restoration and Construction of Nurseries for Native Beach Grass Cultivation,Nonprofit,Coastal Resilience,51f0d492-16ee-472b-8a49-06b51c2311b4,,,DBR restored an eroded cobble berm along a critical access road and constructed two beach grass nurseries to provide dedicated local sources of native vegetation.,http://www.duxburybeach.com/,,,,21736,South Shore,Duxbury Beach Reservation Contact Information,,,,,Duxbury,No,86947,"Duxbury Beach Reservation, Inc.",South Coastal,2014,-7862696.76214868,5166218.88615931
86,Construction - Stormwater Infrastructure,Jones River Estuary BMP Design and Implementation Project Phase 4,Municipal,Coastal Pollutant Remediation,818592b8-e809-4700-b606-33aae16548e2,,,"The Town of Kingston finalized engineering plans, permitted and constructed subsurface filtration stormwater Best Management Practices on Shore Drive and Cedar Lane to mitigate bacterial pollution discharge to the Jones River Estuary.",,,,,40206,South Shore,,,,,,Kingston,No,125000,Kingston,South Coastal,2016,-7870820.58636268,5160908.9686259
112,Planning & Outreach,Community Rating System Application Assistance and Outreach,Municipal,Coastal Resilience,a6ec6587-2505-4344-a688-c149331596ca,,,The town put together an application for the National Flood Insurance Program's Community Rating System and developed a template to help other communities prepare an application.,https://www.townofbarnstable.us/departments/planninganddevelopment/Projects/Floodplain-Management-and-Storm-Smart-Recommendations-Report.pdf,,,,13140,Cape Cod and Islands,Recommendations Report,,,,,Barnstable,No,52560,Barnstable,Cape Cod,2014,-7823800.11522087,5108923.78809103
63,Planning & Outreach,Coastal Resiliency at Sandy Neck Public Beach Facility,Municipal,Coastal Resilience,98b25677-4ade-4840-aba1-da3c949a6f34,,,The town will study wind and wave forces affecting the Sandy Neck shoreline and evaluate long-term management options for protecting the public beach facility from storm and flood damages.,https://storymaps.arcgis.com/stories/625d26e1d6ba478888e920f142c28c38,,,,37125,Cape Cod and Islands,StoryMap,,,,,Barnstable,No,148500,Barnstable,Cape Cod,2016,-7834803.03502902,5121900.44887284
255,Design & Permitting,Design of Long-Term Protection for Polpis Road at Sesachacha Pond,Municipal,Coastal Resilience,2ec8fc6a-9448-483c-8da5-e053ab104f2d,,,The Town of Nantucket prepared conceptual alternatives for a project to stabilize and reduce wave impacts to a coastal bank at Sesachacha Pond along a vulnerable section of Polpis Road.,https://www.nantucket-ma.gov/130/Natural-Resources,,,,10556,Cape Cod and Islands,Nantucket Contact Information,,,,,Nantucket,No,42225,Nantucket,Islands,2020,-7790692.7381388,5055206.62522107
6,Vulnerability Assessment,Sawmill Brook Culvert and Green Infrastructure Analysis - Vulnerability And Required Capacity Under Climate Change,Municipal,Coastal Resilience,6e76dac0-3ba0-4414-bb3c-cbf5c1e99529,,,"The town evaluated the capacity of bridges and culverts to provide services during storms under future precipitation and sea level rise conditions and prepared design plans, cost estimates, and a permitting strategy for infrastructure improvements.",https://www.manchester.ma.us/DocumentCenter/Home/View/611,,,,38737,North Shore,Final Report,,,,,Manchester,No,154950,Manchester-by-the-Sea,North Coastal,2015,-7878408.08245392,5247541.95961794
398,Construction - Stormwater Infrastructure,Talbot Avenue Stormwater Treatment Vault Replacement,Municipal,Coastal Habitat and Water Quality,e0aff386-7364-4452-8fc4-6d187f85fe26,,,"BWSC, in partnership with the City of Boston, replaced the existing stormwater treatment vault located at Talbot Avenue with a new vault equipped with a stormwater filtration system.",,,,,600000,Boston Harbor,,,,,,Boston,No,800000,Boston Water and Sewer Commission,Boston Harbor: Proper,2023,-7913135.87296619,5205111.8321513
304,Planning & Outreach,Mapping Storm Tide Pathways in the Six Towns of Martha's Vineyard: Assessing Coastal Resiliency to Storms and Sea Level Rise,Municipal,Coastal Resilience,ac1a3272-7e31-43d1-841a-2b3f9da5c8b6,,,"Oak Bluffs mapped low-lying areas that serve as pathways for coastal waters to flow inland, and coordinated with the National Weather Service to provide real-time total water level forecasting.",https://www.oakbluffsma.gov,,,,55870,Cape Cod and Islands,Oak Bluffs Contact Information,,,,,"Oak Bluffs, Edgartown, Vineyard Haven, West Tisbury, Chilmark, Aquinnah",Yes,223480,Oak Bluffs,Islands,2021,-7855511.8098176,5079727.41681056
292,Design & Permitting,Ipswich River Coastal Resiliency and Bank Stabilization Project: Phase III,Municipal,Coastal Resilience,fb258455-f2b2-4326-af10-3e4c9cdf7786,,,"Ipswich finalized design plans for stabilizing an eroded section of coastal bank along the Ipswich River, located near the County Street Bridge and along a well-traveled trail adjacent to the river, in downtown Ipswich.",https://pie-rivers.org/portfolio-item/id_48/,,,,11160,North Shore,Project Information,,,,,Ipswich,No,39860,Ipswich,North Coastal,2021,-7885031.72985419,5263319.57827531
241,Design & Permitting,Watson Park Shoreline Erosion Mitigation and Coastal Resiliency Improvement,Municipal,Coastal Resilience,d68e37ed-2d67-4cf6-8601-125dd90d786b,,,"The Town of Braintree advanced a coastal bank stabilization project through final design and permitting at Watson Park to address flooding and erosion impacts, restore salt marsh and provide area for landward marsh expansion.",https://braintreema.gov/996/Watson-Park-Shoreline-Stabilization-Proj,,,,19906,Boston Harbor,Project Information,,,,,Braintree,No,92074,Braintree,Boston Harbor: Weymouth & Weir,2020,-7899695.93524324,5194951.43064555
341,Construction - Shoreline Restoration,Beach Nourishment and Dune Enhancement at Duxbury Beach Reservation,Nonprofit,Coastal Resilience,ca329cfd-0d07-4f5c-87aa-d570dee6bc42,,,"Duxbury Beach Reservation will construct a 2,750 linear-foot beach and dune nourishment project in front of the Duxbury Pavilion to provide increased storm damage protection and flood control to Duxbury Bay.",https://www.duxburybeachreservation.org/restorationfaq,,,,450000,South Shore,Project FAQs,,,,,Duxbury,No,1800000,"Duxbury Beach Reservation, Inc.",South Coastal,2023,-7863909.48653549,5168417.59156726
347,Design & Permitting,Public Access and Protection for the Marblehead Municipal Light Department and Adjoining Public Lands,Municipal,Coastal Resilience,70ea84eb-365c-40ec-95e5-fd7b63058937,,,"Marblehead will continue public outreach, advance design plans and begin permitting for infrastructure retrofits to reduce flooding impacts along the shoreline encompassing the Municipal Light Department and adjacent properties.",https://www.marblehead.org/town-planners-office/news/coastal-resilience-projectpart-2,,,,125572,North Shore,Project Information,,,,,Marblehead,No,523220,Marblehead,North Coastal,2023,-7887254.21135873,5235684.85531558
98,Habitat Restoration,Newburyport Dune Restoration and Beach Access Improvement Project,Municipal,Coastal Resilience,a427814c-91b2-4d9d-8f3d-6cdf16dbca6a,,,"Newburyport restored approximately 8 acres of dune habitat and transplanted 10,000 native plants to reduce erosion and provide wildlife habitat. Mobi-mats were installed to make foot paths more accessible.",https://www.cityofnewburyport.com/planning-development,,,,72341,North Shore,Newburyport Contact Information,,,,,Newburyport,No,131530,Newburyport,Merrimack,2017,-7882684.76018552,5283320.13387716
198,Planning & Outreach,Resilient Nantucket: 3D Digital Documentation and Sea Level Rise Visualization,Municipal,Coastal Resilience,79e75b2e-a3b1-4a3c-a7d5-14eee238e83f,,,Nantucket created 3D visualizations of projected flooding and sea level rise at vulnerable sites to expand public awareness and communication of climate change impacts and help advance local resiliency planning efforts.,https://www.nantucket-ma.gov/1369/Coastal-Community-Resilience-Planning,,,,18750,Cape Cod and Islands,Nantucket Contact Information,,,,,Nantucket,No,75000,Nantucket,Islands,2019,-7803381.88424799,5054485.47722508
149,Construction - Shoreline Restoration,"Gray's Beach Park Coastal Restoration, Retreat and Site Improvement Project",Municipal,Coastal Resilience,3e78499d-628b-48cd-9d86-a50b6fa8e8af,,,"Kingston restored Gray's Beach by replacing a deteriorating stone revetment with a marsh and dune system and relocating a concession facility farther inland to accommodate future flooding, erosion and sea level rise.",https://www.kingstonma.gov/246/Conservation-Department-Conservation-Com,,,,194112,South Shore,Kingston Contact Information,,,,,Kingston,No,497725,Kingston,South Coastal,2018,-7870230.79570836,5158995.06309972
190,Design & Permitting,Gloucester High School Campus Coastal Flood Mitigation Project,Municipal,Coastal Resilience,6ed675c4-78e4-4222-b125-697a2b20f627,,,"Gloucester evaluated and designed a flood mitigation project to help protect the Gloucester High School building, athletic fields, parking areas and neighborhood from coastal flooding.",https://www.gloucester-ma.gov/264/Community-Development,,,,15836,North Shore,Gloucester Contact Information,,,,,Gloucester,No,80108,Gloucester,North Coastal,2019,-7867532.60399682,5253002.49131995
353,Construction - Other Infrastructure,Rock Harbor Commercial Wharf Fuel System Improvements,Municipal,Coastal Resilience,58c69aef-ffc4-4a87-a68a-8f0190c12afa,,,The Town of Orleans will address the vulnerability of existing marine fuel facilities by removing underground fuel tanks located in a vulnerable area and replacing them with two new above ground units in a safer and more landward location.,https://www.town.orleans.ma.us/361/Public-Works-Natural-Resources,,,,149879,Cape Cod and Islands,Orleans Contact Information,,,,,Orleans,No,599516,Orleans,Cape Cod,2023,-7793006.43349665,5131053.39659053
359,Planning & Outreach,Increasing Coastal Resiliency Through Intermunicipal Shoreline Management: Phase 3,Municipal,Coastal Resilience,92503024-bb79-44bb-8375-c2617a7efea4,,,The towns will continue a multi-phase project to pursue a regional approach to shoreline management for Eastern Cape Cod Bay.,https://www.wellfleet-ma.gov/healthconservation-department,,,,49156,Cape Cod and Islands,Wellfleet Contact Information,,,,,"Wellfleet, Provincetown, Truro, Eastham",Yes,546180,Wellfleet,Cape Cod,2023,-7796659.88456178,5152235.4108738
330,Design & Permitting,"Public Outreach, Design Assessment and Permit Level Plan Preparation for Coastal Storm Protection along the Vineyard Haven Harbor Shoreline",Municipal,Coastal Resilience,f3cef93a-9bb7-4b3b-b838-1a39c5f61489,,,"Tisbury will continue public involvement and outreach, refine conceptual designs and initiate permitting activities for flood protection for downtown Vineyard Haven, including beach and dune nourishment, roadway elevation and construction of a berm.",https://www.tisburyma.gov/town-administrator,,,,45703,Cape Cod and Islands,Tisbury Contact Information,,,,,Tisbury,No,169272,Tisbury,Islands,2022,-7859706.90312891,5079585.90842803
336,Design & Permitting,Environmental Permitting for Current Redirection Structures and Nourishment of Crescent Beach,Municipal,Coastal Resilience,a8f0072e-b6d1-439d-9e95-da8bec616d5d,,,The Town of Chatham will undertake environmental permitting for current redirection structures combined with beach nourishment to mitigate significant shoaling within the Stage Harbor entrance channel and erosion of Crescent Beach.,https://www.chatham-ma.gov/177/Natural-Resources-Department,,,,21683,Cape Cod and Islands,Chatham Contact Information,,,,,Chatham,No,86732,Chatham,Cape Cod,2023,-7789899.78180037,5109458.92727835
236,Construction - Stormwater Infrastructure,Buttermilk Way Stormwater Remediation,Municipal,Coastal Pollutant Remediation,890d1968-a9fa-4be7-96f0-3d105219c5bc,,,"The Town of Bourne constructed infiltration chambers to treat stormwater inputs to Fisherman’s Cove in Buzzards Bay, building on CPR FY13 funds. The goals of the project were to reduce shellfish area closures and educate the public about stormwater.",,,,,60000,Cape Cod and Islands,,,,,,Bourne,No,125000,Bourne,Buzzards Bay,2014,-7861759.97231772,5122703.32596122
307,Planning & Outreach,Increasing Coastal Resiliency through Intermunicipal Shoreline Management: Phase 2,Municipal,Coastal Resilience,e7ec5a72-90e7-453d-9ff6-a984c47ba4b3,,,"Provincetown continued working with the Towns of Truro, Wellfleet, and Eastham toward a regional approach to shoreline management for Eastern Cape Cod Bay.",https://www.provincetown-ma.gov/1413/Coastal-Resiliency-Advisory-Committee,,,,62117,Cape Cod and Islands,Provincetown Contact Information,,,,,"Provincetown, Truro, Wellfleet, Eastham",Yes,248470,Provincetown,Cape Cod,2021,-7813246.91043068,5168661.30215836
405,Vulnerability Assessment, Designing a Resilient Lynch Park,Municipal,Coastal Resilience,368d1497-7485-4e44-8a29-8b303cb39724,,,"The City of Beverly will assess the vulnerability of Lynch Park to flooding and erosion and develop resilience strategies. The project will evaluate potential impacts to the seawall and develop conceptual designs to mitigate flooding, address the drainage of floodwaters, and protect public access and amenities. ",https://www.beverlyma.gov/324/Office-of-the-Mayor,,,,106905,North Shore,Beverly Contact Information,,,,,Beverly,No,325375,Beverly,North Coastal,2024,-7888264.37316341,5243074.20009581
259,Planning & Outreach,A Focus on Our Most Vulnerable Places,Nonprofit,Coastal Resilience,32c446f5-55a8-474f-85a3-ed80f7d566cf,,,"The Trustees of Reservations used their coastal properties as case studies to evaluate flooding and erosion vulnerabilities and potential adaptation strategies for barrier beaches, coastal banks and publicly accessible shorelines.",https://www.onthecoast.thetrustees.org/a-focus-on-our-most-vulnerable-places,,,,24600,Boston Harbor,Project Information,,,,,Boston,No,82000,Trustees of Reservations,Boston Harbor: Proper,2020,-7909464.96493103,5214574.71942665
113,Planning & Outreach,Designing for the Rising Tide: A Climate Change Preparedness Competition for Boston Harbor,Municipal,Coastal Resilience,e9aaf78f-2533-452e-a2b7-f1272521ecfb,,,"Boston hosted a design competition to identify strategies to buildings, infrastructure, and neighborhoods to rising sea level.",https://www.bostonplans.org/,,,,24940,Boston Harbor,BPDA Website,,,,,Boston,No,86000,Boston,Boston Harbor: Proper,2014,-7910299.3805328,5215066.39929429
422,Design & Permitting,Packet Landing Resiliency Alternatives Analysis,Municipal,Coastal Resilience,10e6db10-c7c4-435c-8777-fc40b4205509,,,The Town of Yarmouth will create three conceptual designs for potential projects to increase the resilience of Packet Landing Marina from sea level rise and storm surge. ,https://www.yarmouth.ma.us/142/Natural-Resources,,,,24920,Cape Cod And Islands,Yarmouth Contact Information,,,,,Yarmouth,No,79940,Yarmouth,Cape Cod,2024,-7812750.36918595,5111070.6094089
230,Construction - Stormwater Infrastructure,"Yarmouth Impaired Waters, Stormwater BMP Construction and Design",Municipal,Coastal Pollutant Remediation,86d26d87-5e04-4b7d-8fde-a8d5e8ba136b,,,"Yarmouth constructed bioretention and gravel wetland systems to treat bacteria and nitrogen in stormwater, and assessed additional high priority locations. Goals are to improve habitat, and reduce beach and shellfishing area closures.",,,,,150274,Cape Cod and Islands,,,,,,Yarmouth,No,155010,Yarmouth,Cape Cod,2019,-7822218.01932612,5108802.57574318
67,Planning & Outreach,Increasing Resilience through Community Engagement: Facilitating Implementation of Climate Adaptation Strategies in the Great Marsh,Municipal,Coastal Resilience,46316c17-15e8-4603-99f4-9914fc01786f,,,"The town developed informational packets and risk maps and conducted a regional workshop to expand public awareness of coastal vulnerabilities in the towns of Essex, Salisbury, Newbury, Newburyport, Rowley and Ipswich.",https://www.greatmarshresiliency.org,,,,15735,North Shore,Project Information,,,,,Essex,No,62943,Essex,North Coastal,2016,-7879559.52634894,5256052.64582262
21,Design & Permitting,Orient Avenue Rain Garden Site 1 And Site 2,Municipal,Coastal Pollutant Remediation,a2421c6f-2f26-4ac6-a6da-403bc5d3e266,,,The City of Melrose developed final designs for rain gardens in the downtown area that address anticipated increases in storm intensity and frequency due to climate change. These bioretention systems will treat stormwater pollutants entering Ell Pond., ,,,,2266,Boston Harbor,,,,,,Melrose,No,6700,Melrose,Boston Harbor: Mystic,2017,-7910026.67460312,5230136.32820564
121,Design & Permitting,Fore River Avenue and Fort Point Road Seawall Reconstruction,Municipal,Coastal Resilience,276618b0-659b-43ca-b11d-1f39110330e7,,,The town developed design alternatives and a preferred approach to reconstruct the seawalls at Fore River Ave and Fort Point Rd.,https://www.weymouth.ma.us/engineering,,,,5651,Boston Harbor,Weymouth Contact Information,,,,,Weymouth,No,22605,Weymouth,Boston Harbor: Weymouth & Weir,2014,-7896645.76577367,5199161.03664562
319,Planning & Outreach,Feasibility Assessment for Addressing Increased Erosion along the Eel River Inlet Shoreline Due to Barrier Beach Migration,Municipal,Coastal Resilience,57b7c342-8372-4784-a986-f9615e15fe46,,,Falmouth assessed a full range of alternatives for providing protection for the shoreline along the western side of the Eel River entrance channel over the next 30-50 years.,https://www.falmouthma.gov/DocumentCenter/View/12390/EelRiver_report_06-17-2022,,,,16042,Cape Cod and Islands,Feasibility Assessment,,,,,Falmouth,No,64170,Falmouth,Cape Cod,2022,-7853410.4884251,5094036.08968128
173,Design & Permitting,Engineering and Environmental Permitting for Roadway Elevation Improvements and Dune Nourishment along North Humarock Beach for Improved Coastal Resiliency,Municipal,Coastal Resilience,6a3f24ea-85aa-4cb3-ad42-d8b4711e1a76,,,Scituate developed design plans and preliminary environmental permit documents for dune nourishment and roadway elevation along a portion of Central Avenue on Humarock Beach to provide storm damage protection for repetitively damaged infrastructure.,https://www.scituatema.gov/flood-hazard-mitigation,,,,52500,South Shore,Scituate Contact Information,,,,,Scituate,No,210000,Scituate,South Coastal,2018,-7869175.55705273,5181683.07875839
370,Planning & Outreach,Mill Creek Water Quality Improvement Project,Municipal,Coastal Pollutant Remediation,471efb56-7d91-470f-8b22-738382c1f808,,Address is City Hall because project is watershed assessment.,"Chelsea, the Mystic River Watershed Association, and Greenroots completed a nonpoint source pollution assessment and outreach efforts to identify the sources of bacteria and develop 50% designs at two sites to treat stormwater runoff into Mill Creek. ",,,,,25536,Boston Harbor,,,,,,Chelsea,No,88585,Chelsea,Boston Harbor: Mystic,2022,-7907373.75354558,5220093.14076299
107,Design & Permitting,Improving the Coastal Resilience of Barges Beach on Cuttyhunk Island,Municipal,Coastal Resilience,33f26411-5130-4839-b66d-dc9147908820,,,"Gosnold evaluated beach nourishment, dune restoration and other green infrastructure options for Barges Beach to provide increased shoreline stabilization.",https://www.townofgosnold.org/selectboard,,,,51468,Cape Cod and Islands,Gosnold Contact Information,,,,,Gosnold,No,205875,Gosnold,Islands,2014,-7896044.06300601,5073853.72261674
250,Design & Permitting,"Building Climate Resilience through Adaptation at Argilla Road and the Crane Estate - Expanded Alternatives Analysis, Design and Permitting",Municipal,Coastal Resilience,9bc4c563-84e5-4b16-a4dd-7bc621e4b8fd,,,"The Town of Ipswich partnered with the Trustees of Reservations to perform additional evaluations of adaptive roadway design alternatives that balance access, resiliency and wetland health at Argilla Road, a key point of access for over 350,000 visitors.",https://ttor.maps.arcgis.com/apps/MapSeries/index.html?appid=d67f8e8fd2cc4d2c942caf4293afe778,,,,40933,North Shore,StoryMap,,,,,Ipswich,No,181732,Ipswich,North Coastal,2020,-7878312.2762539,5263822.01404344
413,Design & Permitting,"Hingham Harbor Shore Protection Alternatives Analysis, Preliminary Design, and  MEPA filing, including Assessment of Vulnerable Wastewater Infrastructure",Municipal,Coastal Resilience,a4bac5da-0053-47c8-8f28-c237b3509e18,,,The Town of Hingham will assess coastal flooding and develop preliminary designs for a shoreline resilience project for Hingham Harbor. The project will work in conjunction with planned Massachusetts Department of Transportation improvements along Route 3A to ensure flood protection. ,https://www.hingham-ma.gov/234/Public-Works,,,,84097,South Shore,Hingham Contact Information,,,,,Hingham,No,268771,Hingham,Boston Harbor: Weymouth & Weir,2024,-7890817.75982852,5197784.13173065
436,Planning & Outreach,Alder Brook Best Management Practice (BMP) Design Using Green Stormwater Infrastructure to Protect Water Quality,Municipal,Coastal Habitat and Water Quality,40e2cf0f-6257-4ff1-8c09-727d1b08b4ca,,,"The Town of Needham, in partnership with the Charles River Watershed Association, will develop green stormwater infrastructure designs to mitigate stormwater impacts along Alder Brook. Alder Brook is an impaired tributary of the Charles River, identified as nutrient impaired in the Massachusetts Integrated List of Waters. Advancing assessment and planning for stormwater management will reduce phosphorous input to Alder Brook by capturing and treating stormwater. ",,,,,35385,Boston Harbor,,,,,,Needham,No,125425,Needham,Charles,2025,-7928648.80248993,5202040.06364621
64,Planning & Outreach,Boston Climate Preparedness Planning Initiative,Municipal,Coastal Resilience,88a31a26-c6c8-40b0-a342-c0e9c5ba9385,,,"The city will review and develop consensus on local climate change projections and impacts, identify vulnerabilities and develop an initial portfolio of actions to strengthen the resiliency of buildings, neighborhoods and infrastructure.",https://www.boston.gov/departments/environment/climate-ready-boston,,,,227500,Boston Harbor,Climate Ready Boston,,,,,Boston,No,350000,Boston,Boston Harbor: Proper,2016,-7910163.01300255,5215063.26738629
38,Planning & Outreach,Mapping Inundation Pathways To Provide Communities With Real-Time Coastal Flood Forecasts: A Pilot Project With The National Weather Service,Municipal,Coastal Resilience,e2a00241-b38a-4996-b491-3002fcddb0f3,,,Truro identified low-lying flooding pathways under current and future storm conditions and incorporated mapping data on a town website as well as the southern New England Weather Forecast Office's inundation mapping webpage.,https://www.truro-ma.gov,,,,10852,Cape Cod and Islands,Truro Contact Information,,,,,Truro,No,35007,Truro,Cape Cod,2017,-7798609.40579281,5160741.06830772
350,Construction - Other Infrastructure,Reopening Old Slough Road for Vehicle Travel in Emergencies – Year 2,Municipal,Coastal Resilience,8575442f-b676-4709-9d37-97d6e067b7ba,,,"The Town of Mattapoisett will finalize design plans, permit and construct improvements to Old Slough Road that will be used as an emergency route for vehicles traveling between the Point Connett and Angelica Point communities.",https://www.mattapoisett.net/sites/g/files/vyhlif3436/f/uploads/jan_12_revision_-_reopening_old_slough_road_web_information.pdf,,,,58500,South Coast,Project Information,,,,,Mattapoisett,No,585000,Mattapoisett,Buzzards Bay,2023,-7878030.6840726,5109372.75007348
101,Planning & Outreach,Assessing Alternatives for Reducing Flooding within Green Harbor River Estuarine System through the Optimization of the Tide Gates Located on Dyke Road,Municipal,Coastal Resilience,8a291e53-fcfd-4df2-898b-595d3b5ae724,,,Marshfield evaluated modifications to the culvert and tide gate structure on Dyke Road under existing and future sea level rise to address flooding and enhance ecologicial resources.,https://www.marshfield-ma.gov/,,,,17812,South Shore,Marshfield Contact Information,,,,,Marshfield,No,71250,Marshfield,South Coastal,2017,-7865301.40024671,5173773.0687527
