Project Name,Town,Cost,Description,Year,Locations,Coordinates,Latitude,Longitude
Water Audits to Reduce UAW,Foxboro,"$50,500 ","This project included activities to evaluate the source and cost of water losses by using the MassDEP water
audit methodology and forms. This involved review of pumping and treatment facilities, production and
consumption records, meter calibration practices, and accounting of unmetered water uses to determine where
potential losses may be occurring and to provide recommendations for improvements.
Based on the results of the water audit, the Town has an average UAW of 21.53%, which costs the Town
$104,900 to produce, with no return on investment. Based on the most recent leak detection survey, only
4.6% of the losses are associated with leaks in the distribution system. The remaining losses are anticipated to
be from paper losses associated with current estimating and tracking practices for authorized metered and
unmetered municipal uses, under-registering meters associated with older meters in the system, other
potentially unbilled water uses (based on review of assessor���s data), potential water thefher leaks in
the system not identified by the leak detection survey. Recommendations focus on further investigation in
these areas.",2015.0,"['Town', 'UAW', 'Town']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Alternate Water Supply Study and Rt. 20 Reallocation Study,Shrewsbury,"$36,286 ","This project identified alternative water supplies to minimize pumping impacts by the existing Shrewsbury well fields and to reduce pumping impacts to the Poor Farm Brook. Options evaluated included purchasing water from various sources, re-opening a well, or establishing a new one. The most cost-effective options include the continued use of the current wells, supplemented by Worcester’s supply or a mitigation plan for aquifer recharge to allow current and future increased withdrawals from the aquife",2015.0,"['Shrewsbury', 'Worcester']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Integrated Assessment and Basin-Wide Training,Westborough,"$91,315 ","This project assessed the implications of revised Water Management Act regulations on water resource planning, operations, and management in Westborough, identifying cost-effective strategies to meet permit requirements. Key strategies included reducing unaccounted-for water, further restricting non-essential outdoor water use, implementing a five-year water efficiency program, connecting the Indian Meadows well to the Fisher plant to enable discharge offsets, and redistributing pumping from the Andrews and Otis well fields to subbasins like Jackstraw and Sandra. Materials were developed, and a training workshop was conducted for Westborough and other WMA permit holders.",2015.0,"['Westborough', 'Fisher', 'Westborough', 'WMA']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Support and Reusable Tools,Wrentham,"$122,895 ","This project built on previous initiatives using WMOST to develop tools for Water Management Act compliance. It created two tools: a stormwater calculator and a demand management calculator, designed to estimate credits and costs under the new regulations. Additional considerations included potential climate change impacts, data and modeling uncertainty, and other regulatory options. These tools are standalone Excel files accessible to other permit holders.",2015.0,['WMOST'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Third Herring Brook,Norwell,"$80,240 ","This project aimed to better understand the water resources in Third Herring Brook for the sustainability of Norwell’s and Hanover’s water supplies, as well as its instream ecology. WEAP software was utilized to model water dynamics within the watershed, supplemented by sediment testing and a bathymetric survey of Jacob’s",2015.0,"['Norwell', 'Hanover', 'WEAP']","(42.13632751271844, -70.82611663533275)",42.13632751271844,-70.82611663533275
Path from Screening Analysis to Permit Conditions,Littleton,"$59,427 ","Following recommendations from a previous planning study, this project launched unaccounted-for water (UAW) and demand management programs. Efforts are anticipated to lower Littleton’s UAW from 15% to around 11%. Additionally, the project developed generalized templates, allowing other permit holders to perform similar analyses more efficientl",2015.0,"['UAW', 'Littleton', 'UAW']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Stormwater Infiltration Planning,Auburn,"$94,300 ","Building on a prior SWMI project, this initiative evaluated existing stormwater outfalls near Auburn Water District’s wells, with sites including Sword Street Industrial Park, Auburn Mall, and Southbridge Street Industrial Park. Sword Street had the most favorable conditions for a roof leader disconnection and infiltration program, though costs remained high for the level of mitigation achieved. Additionally, an Alternative Source Study was conducted with recommendations provide",2015.0,"['Auburn Water District', 'Sword Street Industrial Park', 'Auburn Mall', 'Southbridge Street Industrial Park', 'Sword Street', 'an Alternative Source Study']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Minimization and Mitigation Planning,Lincoln,"$75,292 ","This project encompassed four activities to assist Lincoln in addressing WMA compliance: (1) Evaluating alternative sources, (2) Exploring additional conservation measures, (3) Assessing existing mitigation efforts, and (4) Conducting leak detection and meter calibration. Recommendations included installing replacement wells and a new well at the Tower Rd. site and using potential mitigation sites and wastewater adjustments to meet mitigation requirements.",2015.0,"['Lincoln', 'WMA', 'the Tower Rd']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Culverts and Stormwater,Kingston,"$55,000 ","The project involved replacing culverts and upgrading stormwater infrastructure near the Jones River headwater to improve fish passage and stream health. Due to existing water allocation practices, the upper Jones River experiences unnatural seasonal drying and flooding, adversely affecting fish and other aquatic species. Efforts included wetland resource flagging, topographic surveying, soil evaluation, and the development of a 90% design plan with steps toward land easement acquisition.",2015.0,"['Jones River', 'Jones River']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Targeted Leak Detection,Medway,"$18,208 ","Medway conducted water audits of its own system and its largest consumers, leading to a prioritized list of recommendations, which have been initiated. The project developed a District Metering Program to help prioritize leak detection based on water main age, break history, system pressure, and other factors. Digital correlating loggers were selected as the most cost-effective method for this enhanced leak detection.",2015.0,"['Medway', 'District Metering Program', 'Digital']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Implementation Project,Westford,"$107,867 ","This project introduced a rebate program for water-efficient appliances and retrofitted municipal buildings with low-flow toilets to boost water efficiency, reduce demand, and meet the RGPCD standard. A range of equipment—61 toilets, 8 clothes washers, 200 shower heads, 700 aerators, and 500 radio-read meters—was installed. Estimated annual water savings were 9.7 million gallons, totaling 142 million gallons over the lifetime of the equipm",2015.0,[],"(None, None)",,
Implementation of Stormwater Recharge Practices,Franklin,"$148,890 ","This project continued efforts from two prior SWMI studies to design and implement stormwater recharge practices at three selected sites: Lady Slipper Lane, Hayden Lane, and Jefferson Road. Collectively, these sites are anticipated to recharge approximately 7.2 million gallons of water annually.",2015.0,"['Hayden Lane', 'Jefferson Road']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
SCADA Feasibility,Halifax,"$74,850 ","This project examined the feasibility of installing automated controls (SCADA) for remotely managing Monponsett Ponds’ water levels, aiming to reduce the man-hours needed for manual operation. The proposal included installing automated valves and controls at strategic points to enable remote monitoring and contro",2015.0,['SCADA'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Interconnections with Worcester and Drought Impacts,Auburn,"$96,450 ","This project evaluated the feasibility and design of interconnections between the Auburn Water District and Worcester to supplement Auburn's local groundwater sources facing quality issues. It included hydraulic feasibility studies, interconnection site evaluations, and drought considerations.",2017.0,"['the Auburn Water District', 'Worcester', 'Auburn']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Data Collection and Planning,Danvers,"$129,925 ","The project involved stakeholder meetings in the Ipswich Basin, data collection, optimization option evaluation, alternative supply exploration, and assessment of a Joint Powers Agreement for Ipswich member communities.",2017.0,"['the Ipswich Basin', 'Ipswich']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
"Dropcounter, Source Optimization, and Stormwater",Dedham-Westwood Water District,"$121,020 ","This multi-community project implemented Dropcounter water conservation, refined source optimization for Stoughton, Canton, Dedham, and Westwood, and developed 30% design plans for six stormwater recharge BMPs in select communities.",2017.0,"['Stoughton', 'Canton', 'Dedham']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Stormwater Utility Feasibility Analysis,Millis,"$55,926 ",The project assessed the feasibility and revenue potential of a Stormwater Utility in Millis and held two public workshops to educate residents.,2017.0,[],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Water Rate Study,Plainville,"$24,900 ","This cost-of-service study evaluated Plainville’s water department’s operation costs, fire suppression charges, and recommended adopting a separate irrigation rate, enterprise fund, and climate-based irrigation contr",2017.0,['Plainville'],"(None, None)",,
Leak Detection and AC Pipe Condition Assessment,Provincetown,"$94,500 ","Evaluated two miles of asbestos/concrete pipe using acoustic assessment and data loggers for leak detection, aiming to reduce unaccounted-for water (UAW) below 10%.",2017.0,['UAW'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
First Herring Brook - Reservoir Dam Modifications,Scituate,"$154,880 ","Building on previous grants, this project developed 60% permit-level designs and began permitting for fishway and spillway modifications to improve fish passage and maintain higher water levels in the reservoir.",2017.0,[],"(42.1734348, -70.7528189)",42.1734348,-70.7528189
Water Accounting,Shrewsbury,"$61,690 ","Created a tool for correlating source and customer metered usage to reduce distribution losses, redefined meter reading zones, evaluated billing software, and developed workshops and guides for utility operators.",2017.0,[],"(None, None)",,
Bioretention System,Wrentham,"$85,937 ","Installed an infiltrating bioretention system at Sweatt Beach on Lake Pearl, providing groundwater recharge, streamflow augmentation, sediment and pollutant removal, and educational opportunities.",2017.0,"['Sweatt Beach', 'Lake Pearl']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Stony Brook Flow Restoration Project,Westford and Littleton,"$127,026 ","This project aims to enhance Stony Brook’s streamflow by managing impoundments based on actual data and model insights. It will expand the monitoring network, develop a decision support model, and evaluate dam operational strategies to mimic natural flow condition",2018.0,['Stony Brook’s'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Dropcounter Expansion,Dedham-Westwood Water District,"$37,950 ","The project will expand Dropcounter’s water conservation technology, allowing DWWD staff to better monitor data for leaks and high usage. Outreach will increase customer enrollment, aiming to cover over 25% of Dedham and Westwood resident",2018.0,"['Dedham', 'Westwood']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Data Collection and Planning in the Ipswich,Danvers,"$200,988 ","Continuing from the previous year, this project will evaluate alternatives for water management within and beyond the Ipswich Basin, including storage expansion and potential MWRA water importation, offering a comparative decision model for regional planning.",2018.0,['the Ipswich Basin'],"(42.6800905, -70.8375707)",42.6800905,-70.8375707
Water Rate Studies,Groton (and others),"$150,330 ","This study helps Groton and other districts assess revenue needs under new permit conditions, evaluating water restrictions, seasonal rates, and rate adjustments to sustain revenues.",2018.0,['Groton'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Adams Brook Watershed Sediment Evaluation,Amherst,"$83,520 ","Focuses on sediment transport in the Atkins Reservoir area, evaluating sediment removal in ponds and assessing sediment's impact on streamflow, especially during peak flows, to enhance reservoir fill rates without impacting Adams Brook’s flo",2018.0,"['the Atkins Reservoir', 'Adams Brook’s', 'flo']","(42.4008170209172, -72.48498597544227)",42.4008170209172,-72.48498597544227
Design and Permitting - Interconnection with Worcester,Auburn,"$137,300 ","This project furthers Auburn’s water system resilience by developing designs for interconnections with Worcester, aiming to offset stressed local supplies. It includes preparing permits and biddable contract document",2018.0,"['Auburn', 'Worcester']","(42.2625932, -71.8022934)",42.2625932,-71.8022934
Billing Changes and Automatic Meter Reading,Wareham Fire District,"$100,160 ","This project examines consumer perspectives on changing billing frequency, infrastructure needs, and costs for automated meter reading (AMI/AMR) adoption. It includes a cost-benefit analysis and limited commercial AMI/AMR installations.",,"['AMI/AMR', 'AMI', 'AMR']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Design and Permitting - Interconnection with Worcester,Auburn,"$105,760 ","This project advances Auburn’s water supply resilience by continuing the implementation of interconnections with Worcester. It addresses design modifications, permitting, Interbasin Transfer Act requirements, MassDOT requirements, and railroad crossing issues identified in earlier project",2019.0,"['Auburn', 'Worcester']","(42.2625932, -71.8022934)",42.2625932,-71.8022934
Drought Management and Minimization Planning,Danvers,"$93,610 ","The project aims to update Danvers' 2000 Drought Management Plan, create a Minimization Plan, and rank options such as optimization methods, alternative sources, impoundment releases, and conservation measures, all with feasibility and cost assessments.",2019.0,[],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Stony Brook Flow Restoration Project,Westford and Littleton,"$97,620 ","Expanding on previous work, this project enhances streamflow in Stony Brook by coordinating impoundment operations. It includes permitting, field validation of water level-discharge curves, and desktop optimization of Littleton and Westford's wells.",2019.0,"['Stony Brook', 'Littleton', 'Westford']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Integrating Water Smart Planning and Practices,Norfolk,"$31,300 ","This initiative includes water-smart landscaping training and outreach, as well as conceptual designs for infiltration practices in Norfolk’s Town Center, aiming to enhance water quality and groundwater recharg",2019.0,"['Norfolk', 'Town Center']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Supply Evaluation and Water Conservation,Plymouth,"$66,930 ",Funds a comprehensive leak detection program and develops a Minimization Plan focused on demand management and emergency preparedness.,,[],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Continuation of Design and Permitting - Interconnection with Worcester,Auburn,"$101,969 ","This project furthers Auburn's water resilience efforts by continuing Worcester interconnection implementation. It includes design borings under Kettle Brook and addressing permitting requirements, particularly modifications from the previous year’s feedbac",2020.0,"['Auburn', 'Worcester', 'Kettle Brook']","(42.2625932, -71.8022934)",42.2625932,-71.8022934
Interconnections and Optimization,Avon,"$130,000 ","Aims to improve Avon's system by modeling four potential interconnections with other systems, developing conceptual layouts, and optimizing sources with a long-term maintenance plan.",2020.0,['Avon'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Regional Water Conservation Project,Dedham-Westwood Water District,"$95,816 ","A collaboration across six Neponset Valley communities, this project reduces water demand via a rebate program, replacing toilets, washers, showerheads, aerators, and upgrading irrigation systems with rain sensors.",2020.0,['Neponset Valley'],"(None, None)",,
Infiltration Feasibility Assessment,Medway,"$38,134 ","In partnership with Charles River Watershed Association, Medway will conduct an infiltration feasibility study across town-owned properties to recharge groundwater and reduce stormwater runoff. Conceptual designs and recharge volume estimates will be created for priority sites.",2020.0,"['Charles River Watershed Association', 'Medway']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Drought Management Plan,Wareham Fire District,"$151,783 ","Develops a drought management plan leveraging the USGS Plymouth-Carver model to link rainfall, groundwater levels, and pumping data. Includes simulations to establish local drought triggers, responses, and a framework for regulating private wells.",2020.0,"['USGS', 'Plymouth']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Continuation of Stony Brook Flow Restoration Project,Westford and Littleton,"$87,766 ","Expands Stony Brook flow restoration by incorporating two additional dam structures in Chelmsford, exploring automation controls, and establishing release protocols with stakeholder notifications.",2.0,"['Stony Brook', 'Chelmsford']","(40.9256538, -73.1409429)",40.9256538,-73.1409429
Water Conservation Planning and Preparation for Worcester Interconnection,Auburn,"$105,745 ","This project supports the continued preparation for Auburn’s interconnection with Worcester, including a Water Conservation Plan, updates to the Aquifer Protection Bylaw, corrosion control assessment, and finalizing design plans and bid document",2021.0,"['Auburn', 'Worcester']","(42.2625932, -71.8022934)",42.2625932,-71.8022934
"Interconnections, Phase II",Avon,"$75,000 ","This phase evaluates two interconnection options for Avon: a connection with Stoughton to access MWRA water or with Brockton for Aquaria water, including infrastructure improvements, permitting needs, and conceptual designs.",2021.0,"['Avon', 'Stoughton']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Water Rate Study,Dighton,"$29,750 ","A detailed rate study to ensure that Dighton’s rates reflect the true cost of water service while promoting conservation, exploring multi-tiered rate structures, and considering additional revenue option",2021.0,['Dighton'],"(None, None)",,
Alternative Source Evaluation,Leicester,"$122,740 ","Leicester’s project evaluates alternative water sources in connection with Worcester, focusing on groundwater withdrawal impacts, ecological factors, and future well managemen",2021.0,"['Leicester', 'Worcester']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Continuation of Stony Brook Flow Restoration Project,Westford and Littleton,"$107,243 ","Expands on prior projects by establishing ownership agreements, automation at Forge Pond, and consolidating monitoring stations for cost-effective data collection, with a new project website for stakeholder engagement.",2021.0,['Forge Pond'],"(40.9256538, -73.1409429)",40.9256538,-73.1409429
Demand Management Outdoor Water Conservation Campaign,Scituate,"$27,811 ","Supports a regional outdoor water conservation campaign, producing videos, social media ads, and lawn signs for those pledging to reduce lawn watering. The campaign targets 12 South Shore communities.",2.0,['South Shore'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Rate Study and SCADA Integration for Worcester Interconnection,Auburn,"$88,320 ","Supports the Worcester interconnection project by conducting a rate study for fiscal sustainability, quality assurance for construction, and installing SCADA instrumentation to ensure effective monitoring.",2022.0,"['Worcester', 'SCADA']","(42.2625932, -71.8022934)",42.2625932,-71.8022934
Meter Reading Hardware and Software,Avon,"$55,250 ","Funds a new meter reading system for Avon to reduce unaccounted-for water and increase billing frequency, building on previous M36 audit findings.",2022.0,['Avon'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Alternative Source Study for Rehabilitation of Mt. Warner Wells,Hadley,"$87,590 ","Evaluates rehabilitating the Mt. Warner Wells as a regional backup for Hadley and Amherst, including pilot testing for treatment and hydraulic assessments for regional water distribution.",2022.0,"['the Mt. Warner Wells', 'Hadley', 'Amherst']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Regional Evaluation to Improve Water Supply Resiliency in the Ipswich River Watershed,Hamilton,"$155,110 ","Explores water supply alternatives to reduce dependency on the Ipswich River, including sourcing from Salem-Beverly, regionalization, and infrastructure needs for seasonal or full water supply support.",2022.0,"['the Ipswich River', 'Salem']","(42.63418469442244, -70.898192302648)",42.63418469442244,-70.898192302648
Planning and Preparation for Leominster-Clinton-Sterling-Lancaster Regional Water Interconnection,Leominster,"$101,312 ","Plans for shared use of Leominster’s Wachusett Reservoir pipeline and pump station, improving water supply redundancy and resilience for nearby communitie",2022.0,"['Leominster', 'Wachusett Reservoir']","(42.4374156, -71.76062929999999)",42.4374156,-71.76062929999999
Continuation of Stony Brook Flow Restoration Project,Westford and Littleton,"$63,074 ",Enhances flow management in Stony Brook with automated valve control at Spectacle Pond and improved hydrologic model calibration to support future scenario planning.,2022.0,"['Stony Brook', 'Spectacle Pond']","(40.9256538, -73.1409429)",40.9256538,-73.1409429
Rate Study,Abington-Rockland Joint Water Works,"$57,395 ","Conducts a water rate study to update rates for capital projects and operations, with a focus on transitioning to a conservation-based rate system to manage demand.",2023.0,[],"(None, None)",,
Interconnection Phase 3,Avon,"$69,300 ","Continues work on a permanent interconnection between Brockton and Stoughton, establishing intermunicipal agreements and developing a permitting plan for emergency and long-term use.",2023.0,"['Brockton', 'Stoughton']","(None, None)",,
Alternative Source Study for Rehabilitation of Mt. Warner Wells,Hadley,"$130,730 ","Evaluates the potential of rehabilitating Mt. Warner Wells as a regional backup for Hadley and Amherst, including pilot testing and hydraulic assessments.",2023.0,"['Mt. Warner Wells', 'Hadley', 'Amherst']","(42.4072107, -71.3824374)",42.4072107,-71.3824374
Wakefield/MWRA Connection,Lynnfield Center Water District,"$184,000 ","Funds the design and environmental documentation for an interconnection with Wakefield to access MWRA water, diversifying Lynnfield’s water source",2023.0,['Wakefield'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Integrated Surface Water Tool,Peabody,"$164,900 ","Develops a model to assess Peabody’s reservoir resilience under various scenarios, including climate and demand changes, to inform management strategie",2023.0,['Peabody’s'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
System Optimization,Plymouth,"$79,234 ",Studies Plymouth's water system to improve efficiency across pressure zones and develop strategies to meet current and future water demands.,2023.0,['Plymouth'],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Demand Management,Sterling,"$95,555 ",Addresses unaccounted-for water by identifying unmetered connections and exploring pressure zone adjustments to enhance distribution efficiency.,2023.0,[],"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Continuation of Stony Brook Flow Restoration Project,Westford and Littleton,"$27,238 ",Continues efforts to manage Stony Brook flow with updated low-flow release protocols and operational coordination of impoundments based on streamflow data.,2023.0,['Stony Brook'],"(40.9256538, -73.1409429)",40.9256538,-73.1409429
